item_id,name,description,functionDes
10045,白露为霜,五庄观前的仙松之枝，服用后可以补充些许法力。,【功效】恢复魔法100点
10046,六道轮回,天宫的异花，六种颜色可以清楚的反映出六道的轮回，故而得名，可以补充大量气血。,【功效】恢复气血200点
10047,蛇蝎美人,魔王妖王常用的药物，具有补充法力的作用。,【功效】恢复魔法=品质*5+100
10048,定神香,有定神凝气的功效，名贵药物，精心炼成的丹药，具有补充法力的功效。,【功效】解除奇经八脉技能产生的异常状态，恢复魔法=品质*5+50
10049,九转还魂丹,炼过九转的仙丹，用极为珍贵而特殊的药物制成，具有补充气血、疗伤和起死回生的功效。,【功效】复活、恢复气血=品质*5+100，临时气血上限变为品质*5+100
10050,十香返生丸,用十种仙山上奇香的药草制成，奇异的药丸，具有补充法力和解除酒类异常状态的作用。,【功效】解除酒类异常状态，恢复魔法=品质*3+50
10051,红雪散,仙家灵药，用仙家红血制成，具有补充气血、解除毒类异常状态以及恢复战斗中某些情况下损失的防御和功效。,【功效】解除毒类异常状态，恢复气血=品质*4，恢复防御=品质*0.4
10052,五龙丹,来自东海龙宫的珍贵药品，是五颗龙珠凝练的，具有补充气血和解除封类异常状态的功效（解封几率与品质相关）,【功效】解除封类异常状态，恢复气血=品质*3
10053,烤鸭,北方特产，油滑可口。,【功效】恢复气血=品质*10+100，治疗伤势=品质*5
10054,女儿红,名酒，酒香浓烈。,"【功效】战斗中使用恢复20点愤怒,附加昏睡状态。"
10055,烤肉,烤出的肉，非常好吃。,"【功效】恢复气血=品质*10,恢复伤势=品质*10+10"
10056,翡翠豆腐,名厨名菜，炒得色香味美全。,"【功效】恢复气血=品质*15+150,魔法=品质*10+100"
10057,梅花酒,梅花泡成的酒，有梅花的清香。,【功效】恢复愤怒值=品质*0.5，昏睡2~3回合
10058,蛇胆酒,用蛇胆泡的美酒，具有药性。,【功效】恢复愤怒值=品质*1，减少防御=品质*1.5
10059,佛跳墙,东吴名厨创制的一道菜，味道鲜美。,【功效】恢复魔法=品质*10+100
10060,珍露酒,用露水酿制的酒。,【功效】恢复愤怒值=品质*0.4+10
10061,虎骨酒,用虎骨做成的酒，强烈可口。,"【功效】战斗中使用恢复20点愤怒,附加疯狂状态。"
10062,臭豆腐,虽然闻起来有些臭，吃起来很香的。,【功效】恢复气血=品质*20+200
10063,百味酒,泡了上百味药品的药酒。,【功效】恢复愤怒值=品质*0.7，附加昏睡状态2~3回合或附加中毒状态
10064,醉生梦死,仙酒，瑶池会的必备佳酿。,【功效】恢复愤怒值=品质*1，附加疯狂状态3~4回合
10065,飞刀,普通的暗器，刀口锋利。,【基本伤害】10点
10066,飞蝗石,普通暗器，但如果使用熟了，非常得心应手,【基本伤害】20
10067,铁蒺藜,形状是蒺藜的铁制暗器。,【基本伤害】30
10068,无影神针,著名暗器，特点为伤害力较大且极不易防范。,【基本伤害】40
10069,孔雀翎,传说中的暗器，据说伤人例不虚发。,【基本伤害】50
10070,含沙射影,传说中的暗器，扣动机关，万针齐射，非常难防。,【基本伤害】60
10071,回龙摄魂镖,名暗器，发出时阴风阵阵令人防不胜防。,【基本伤害】70
10072,寸阴若梦,来自阴府的暗器，甩出时带动惨惨阴风。,【基本伤害】80
10073,魔睛子,魔王妖王所用的邪恶暗器，会自动追踪攻击目标。,【基本伤害】90
10074,顺逆神针,此暗器中后不易取出，极为厉害。,【基本伤害】100
10075,宠物口粮,宠物非常喜欢的食物，可以恢复宠物耐力。,用于永久坐骑的喂养，可恢复坐骑5000点体力。
10076,洞冥草,来自北方极地钟火之山的仙草，点燃后可以照出鬼物妖魔。,【效果】平时使用可以取消摄魂香的效果，战斗中用来查看怪物的当前气血。
10077,摄妖香,用不知名的仙药和不知名的仙方佐以不知名的仙水配制而成。点燃后妖魔鬼怪皆会退避三舍。,右键点击使用：使用后30分钟内不会遇到比自己低级的敌人。
10078,兰花,兰花象征着高洁，被称为画中隐士。,
10079,桃花,人面桃花相映红，娇艳无比。,
10080,魔兽要诀,受到物理攻击时有30%几率自动反击，反击伤害为正常伤害的50%,指定召唤兽后右击使用：使召唤兽学会反击招式。
10081,魔兽要诀,受到物理攻击时有30%几率给予对方反震，反震伤害为所受伤害的25%,指定召唤兽后右击使用：使召唤兽学会反震招式。
10082,魔兽要诀,"物理攻击时，吸取对方所掉气血的25%, 如果对方有异常状态，吸血后会中毒，攻击鬼魂类怪物时无效",指定召唤兽后右击使用：使召唤兽学会吸血招式。
10083,魔兽要诀,45%的几率连续两次物理攻击，拥有此技能物理攻击能力会降低25%，如果对方有反震技能，只能攻击一次,指定召唤兽后右击使用：使召唤兽学会连击招式。
10084,魔兽要诀,躲避能力、物理攻击命中增加20%，但受暗器攻击时伤害会增加30%,指定召唤兽后右击使用：使召唤兽学会飞行招式。
10085,魔兽要诀,具备夜战能力，不受夜间攻防能力下降的影响,指定召唤兽后右击使用：使召唤兽学会夜战招式。
10086,魔兽要诀,自动附加地府修罗隐身法术2～3回合，拥有此技能物理攻击能力会降低20%，隐身状态下无法使用法术,指定召唤兽后右击使用：使召唤兽学会隐身招式。
10087,魔兽要诀,可以破解地府的修罗隐身、女儿村的楚楚可怜法术效果,指定召唤兽后右击使用：使召唤兽学会感知招式。
10088,魔兽要诀,战斗中每回合自动恢复(自身等级/2)的气血,指定召唤兽后右击使用：使召唤兽学会再生招式。
10089,魔兽要诀,战斗中每回合自动恢复(自身等级/4)的魔法,指定召唤兽后右击使用：使召唤兽学会冥想招式。
10090,魔兽要诀,使用法术时所消耗的魔法降低为正常的75%,指定召唤兽后右击使用：使召唤兽学会慧根招式。
10091,魔兽要诀,物理攻击时的必杀几率增加10%，出现必杀时伤害结果会加倍,指定召唤兽后右击使用：使召唤兽学会必杀招式。
10092,魔兽要诀,不会受到必杀攻击,指定召唤兽后右击使用：使召唤兽学会幸运招式。
10093,魔兽要诀,每回合结束时自动解除一切异常状态,指定召唤兽后右击使用：使召唤兽学会神迹招式。
10094,魔兽要诀,15%的几率完全躲过敌人的物理攻击,指定召唤兽后右击使用：使召唤兽学会招架招式。
10095,魔兽要诀,受到的辅助类法术效果持续回合加倍，如恢复气血、提升速度等,指定召唤兽后右击使用：使召唤兽学会永恒招式。
10096,魔兽要诀,提升自身速度的10%,指定召唤兽后右击使用：使召唤兽学会敏捷招式。
10097,魔兽要诀,增加(自身等级×0.52)的攻击，如果对方有防御或高级防御技能，伤害结果会减少20%,指定召唤兽后右击使用：使召唤兽学会强力招式。
10098,魔兽要诀,增加(自身等级×0.6)的防御，但法术伤害能力会降低10%,指定召唤兽后右击使用：使召唤兽学会防御招式。
10099,魔兽要诀,身手灵敏，不会受到反击和反震,指定召唤兽后右击使用：使召唤兽学会偷袭招式。
10100,魔兽要诀,物理攻击时有15%的几率使敌人中毒，中毒后每回合减少10%的气血和5%的魔法,指定召唤兽后右击使用：使召唤兽学会毒招式。
10101,魔兽要诀,对鬼魂类怪物的物理、法术伤害增效果增加50%，如果将鬼魂类怪物打死，对方将飞出场外而不能复活,指定召唤兽后右击使用：使召唤兽学会驱鬼招式。
10102,魔兽要诀,死亡5回合后自动复活，不受异常状态影响，但也不能使用药品和食物恢复气血（可以食用包子）,指定召唤兽后右击使用：使召唤兽学会鬼魂术招式。
10103,魔兽要诀,对敌人的法术伤害效果提高10%,指定召唤兽后右击使用：使召唤兽学会魔之心招式。
10104,魔兽要诀,战斗死亡时有15%的几率复活，并恢复一半的气血，如果同时拥有鬼魂术（普通或高级），神佑复生的效果将取消,指定召唤兽后右击使用：使召唤兽学会神佑复生招式。
10105,魔兽要诀,精神集中，可以抵御封类异常状态，但自己的物理攻击效果也会降低20%,指定召唤兽后右击使用：使召唤兽学会精神集中招式。
10106,魔兽要诀,不受异常、辅助效果影响，受到鬼魂类怪物攻击时伤害增加50%，不能同时拥有某些信仰类技能,指定召唤兽后右击使用：使召唤兽学会否定信仰招式。
10107,魔兽要诀,使用法术攻击目标时会有一定几率出现连续2次攻击敌人,指定召唤兽后右击使用：使召唤兽学会法术连击招式。
10108,魔兽要诀,使用法术攻击目标时会有一定几率使法术伤害值加倍,指定召唤兽后右击使用：使召唤兽学会法术暴击招式。
10109,魔兽要诀,使用法术攻击目标时伤害在原有伤害值基础上会有大幅度的波动,指定召唤兽后右击使用：使召唤兽学会法术波动招式。
10110,红缨枪,"白腊木制成的枪杆,柔韧有弹性,是便宜实用的练习用枪。",右键使用装备
10112,曲尖枪,采用上等合木，枪尖九曲，是常用的兵器,右键点击装备。
10113,锯齿矛,枪尖三陷三突，枪杆红绸缠绕，彩缨闪动令人眼花瞭乱,右键点击装备。
10114,乌金三叉戟,玄铁长枪，头部以乌金打造，气势如虹,右键点击装备。
10115,火焰枪,以火焰状的精铁代替枪缨，焰缘锋利无比,右键点击装备。
10116,墨杆金钩,乌金铁杆，枪尖粗大且制有金色的粗大倒钩，威猛无比,右键点击装备。
10117,玄铁矛,枪头玄铁制成，宽大沉重，可刺可砍，威势不可挡,右键点击装备。
10118,金蛇信,神木制杆，弯曲似蛇形，金枪透甲，腥红双叉似金蛇出信,右键点击装备。
10119,丈八点钢矛,通体百精纯钢，如天雷击落、蛟龙出海,右键点击装备。
10120,暗夜,"通体乌黑,极细的枪尖无形中直抵咽喉,如暗夜中引魂之手",右键点击装备。
10121,暗夜,"通体乌黑,极细的枪尖无形中直抵咽喉,如暗夜中引魂之手",右键点击装备。
10122,暗夜,"通体乌黑,极细的枪尖无形中直抵咽喉,如暗夜中引魂之手",右键点击装备。
10123,梨花,"锋刃五裂似梨花绽放,粉红的枪缨银白的枪,尽显潇洒风流",右键点击装备。
10124,梨花,"锋刃五裂似梨花绽放,粉红的枪缨银白的枪,尽显潇洒风流",右键点击装备。
10125,梨花,"锋刃五裂似梨花绽放,粉红的枪缨银白的枪,尽显潇洒风流",右键点击装备。
10126,霹雳,以万古溶岩之火锤炼，枪杆似古树盘结，枪尖似雷霆霹雳,右键点击装备。
10127,霹雳,以万古溶岩之火锤炼，枪杆似古树盘结，枪尖似雷霆霹雳,右键点击装备。
10128,霹雳,以万古溶岩之火锤炼，枪杆似古树盘结，枪尖似雷霆霹雳,右键点击装备。
10129,刑天之逆,刑天应劫而出，劫分天兵火水土，此即为其应兵劫之武器。形长两丈，刃如月牙，锋似寒星，身雕百龙蟠纹，挥舞直欲搅碎银汉，号为枪中霸君。,右键点击装备。
10130,刑天之逆,刑天应劫而出，劫分天兵火水土，此即为其应兵劫之武器。形长两丈，刃如月牙，锋似寒星，身雕百龙蟠纹，挥舞直欲搅碎银汉，号为枪中霸君。,右键点击装备。
10131,刑天之逆,刑天应劫而出，劫分天兵火水土，此即为其应兵劫之武器。形长两丈，刃如月牙，锋似寒星，身雕百龙蟠纹，挥舞直欲搅碎银汉，号为枪中霸君。,右键点击装备。
10132,五虎断魂,出如虎奔，刺如虎爪，扫如虎尾，锁如虎噬，声如虎啸；使敌魂断胆破，不战自溃，谓之“五虎断魂”，有枪中王者之气。,右键点击装备。
10133,五虎断魂,出如虎奔，刺如虎爪，扫如虎尾，锁如虎噬，声如虎啸；使敌魂断胆破，不战自溃，谓之“五虎断魂”，有枪中王者之气。,右键点击装备。
10134,五虎断魂,出如虎奔，刺如虎爪，扫如虎尾，锁如虎噬，声如虎啸；使敌魂断胆破，不战自溃，谓之“五虎断魂”，有枪中王者之气。,右键点击装备。
10135,飞龙在天,曾为文殊菩萨降妖密宝，如今幻化为一杆金龙宝枪。此枪掷出可化为飞龙，从万丈高空俯冲而下，撕碎敌人。,右键点击装备。
10136,飞龙在天,曾为文殊菩萨降妖密宝，如今幻化为一杆金龙宝枪。此枪掷出可化为飞龙，从万丈高空俯冲而下，撕碎敌人。,右键点击装备。
10137,飞龙在天,曾为文殊菩萨降妖密宝，如今幻化为一杆金龙宝枪。此枪掷出可化为飞龙，从万丈高空俯冲而下，撕碎敌人。,右键点击装备。
10138,折扇,"普通的纸扇改装而成,可以此练习最基本的使扇方法。",右键点击装备。
10139,铁骨扇,铁制的扇骨会对敌人造成较大的威胁,右键点击装备。
10140,精钢扇,精钢制的扇骨，可以格挡锋利的兵器攻击,右键点击装备。
10141,铁面扇,连扇面也用铁片构成，更易格挡，晃动可出声，乱敌耳目,右键点击装备。
10142,百折扇,采用非常多的扇骨，扇面百折，非常坚固,右键点击装备。
10143,劈水扇,挥舞之下可使狂风止，水断流,右键点击装备。
10144,神火扇,扇面用红绸制，此扇动则似神火四起，使敌人心不能宁,右键点击装备。
10145,阴风扇,扇骨采玄冰制，阴风习习，让人不寒而粟,右键点击装备。
10146,风云雷电,气势勇猛的大型折扇，扇开似风云突变，扇出似雷鸣电闪,右键点击装备。
10147,太极,包容太极于其内，博采天地之灵气,右键点击装备。
10148,太极,包容太极于其内，博采天地之灵气,右键点击装备。
10149,太极,包容太极于其内，博采天地之灵气,右键点击装备。
10150,玉龙,白玉制的扇骨，优雅灵巧，似白龙出海,右键点击装备。
10151,玉龙,白玉制的扇骨，优雅灵巧，似白龙出海,右键点击装备。
10152,玉龙,白玉制的扇骨，优雅灵巧，似白龙出海,右键点击装备。
10153,秋风,一纸折扇，荡平天下事，一缕秋风，吹尽凡尘心,右键点击装备。
10154,秋风,一纸折扇，荡平天下事，一缕秋风，吹尽凡尘心,右键点击装备。
10155,秋风,一纸折扇，荡平天下事，一缕秋风，吹尽凡尘心,右键点击装备。
10156,画龙点睛,画龙点睛本是一把普通的折扇，只因张僧繇画神龙于上，并点其睛，挥动时则隐有风雷之声、云雨之气，展开更有神龙奔出。,右键点击装备。
10157,画龙点睛,画龙点睛本是一把普通的折扇，只因张僧繇画神龙于上，并点其睛，挥动时则隐有风雷之声、云雨之气，展开更有神龙奔出。,右键点击装备。
10158,画龙点睛,画龙点睛本是一把普通的折扇，只因张僧繇画神龙于上，并点其睛，挥动时则隐有风雷之声、云雨之气，展开更有神龙奔出。,右键点击装备。
10159,秋水人家,扇面上所画《秋水人家图》出神入化，栩栩如生；展扇更可进入其中，游山玩水，身临其境。其中定有道家仙法无疑。,右键点击装备。
10160,秋水人家,扇面上所画《秋水人家图》出神入化，栩栩如生；展扇更可进入其中，游山玩水，身临其境。其中定有道家仙法无疑。,右键点击装备。
10161,秋水人家,扇面上所画《秋水人家图》出神入化，栩栩如生；展扇更可进入其中，游山玩水，身临其境。其中定有道家仙法无疑。,右键点击装备。
10162,逍遥江湖,持此扇行走江湖，可预先知晓福祸吉凶。据说是钦天监台正先生袁天罡书奇门妙法于其上，方使此扇有逍遥美名。,右键点击装备。
10163,逍遥江湖,持此扇行走江湖，可预先知晓福祸吉凶。据说是钦天监台正先生袁天罡书奇门妙法于其上，方使此扇有逍遥美名。,右键点击装备。
10164,逍遥江湖,持此扇行走江湖，可预先知晓福祸吉凶。据说是钦天监台正先生袁天罡书奇门妙法于其上，方使此扇有逍遥美名。,右键点击装备。
10165,细木棒,看似细小却有不小的威力，可以当作兵器防身,右键点击装备。
10166,金丝魔棒,棒身缠以金丝，显得华丽,右键点击装备。
10167,玉如意,细长的白玉棒，白玉使魔棒能力得到加强,右键点击装备。
10168,点金棒,华丽的蛇形棒，相传作法之人常用其点石成金,右键点击装备。
10169,云龙棒,棒身九曲，似云龙腾跃,右键点击装备。
10170,幽路引魂,通体乌黑，引魂归冥,右键点击装备。
10171,满天星,棒头细密的镶嵌了无数宝石，闪闪发光，似满天星辰,右键点击装备。
10172,水晶棒,通体以水晶制成，棒头镶嵌了纯净的水晶球，灵光闪闪,右键点击装备。
10173,日月光华,棒端有日月神珠，半黑半白，收太极其内，五行其间,右键点击装备。
10174,沧海,静如海之渊深博从，动似海之激荡翻腾。,右键点击装备。
10175,沧海,静如海之渊深博从，动似海之激荡翻腾。,右键点击装备。
10176,沧海,静如海之渊深博从，动似海之激荡翻腾。,右键点击装备。
10177,红莲,碧杆红莲，阅众生相，度众生孽,右键点击装备。
10178,红莲,碧杆红莲，阅众生相，度众生孽,右键点击装备。
10179,红莲,碧杆红莲，阅众生相，度众生孽,右键点击装备。
10180,盘龙,身若九曲盘龙，口吞八卦金珠,右键点击装备。
10181,盘龙,身若九曲盘龙，口吞八卦金珠,右键点击装备。
10182,盘龙,身若九曲盘龙，口吞八卦金珠,右键点击装备。
10183,降魔玉杵,乃一块绝世好玉雕刻而成，杵头刻有仙家符咒。拿在手中，轻如鸿毛，打在人身，重如泰山。,右键点击装备。
10184,降魔玉杵,乃一块绝世好玉雕刻而成，杵头刻有仙家符咒。拿在手中，轻如鸿毛，打在人身，重如泰山。,右键点击装备。
10185,降魔玉杵,乃一块绝世好玉雕刻而成，杵头刻有仙家符咒。拿在手中，轻如鸿毛，打在人身，重如泰山。,右键点击装备。
10186,青藤玉树,翡翠藤蔓缠绕于碧玉树干之上，光芒石所雕的鲜花正怒放枝头；它是完美的艺术品，更是仙家妙宝、除魔利器。,右键点击装备。
10187,青藤玉树,翡翠藤蔓缠绕于碧玉树干之上，光芒石所雕的鲜花正怒放枝头；它是完美的艺术品，更是仙家妙宝、除魔利器。,右键点击装备。
10188,青藤玉树,翡翠藤蔓缠绕于碧玉树干之上，光芒石所雕的鲜花正怒放枝头；它是完美的艺术品，更是仙家妙宝、除魔利器。,右键点击装备。
10189,墨玉骷髅,魔棒上镶嵌着一个刻画精美的墨水晶骷髅，流露出神秘的死亡气息，似乎与地府有很深的渊源。,右键点击装备。
10190,墨玉骷髅,魔棒上镶嵌着一个刻画精美的墨水晶骷髅，流露出神秘的死亡气息，似乎与地府有很深的渊源。,右键点击装备。
10191,墨玉骷髅,魔棒上镶嵌着一个刻画精美的墨水晶骷髅，流露出神秘的死亡气息，似乎与地府有很深的渊源。,右键点击装备。
10192,铁爪,镔铁制成的铁爪,右键点击装备。
10193,天狼爪,天山雪狼之爪，锐利无比,右键点击装备。
10194,幽冥鬼爪,天山雪狼之爪，锐利无比,右键点击装备。
10195,青龙牙,龙牙状的尖刺，可以透入坚固的衣甲,右键点击装备。
10196,勾魂爪,状似银勾，夺命勾魂,右键点击装备。
10197,玄冰刺,吸玄冰阴寒之气，可以直透骨骸,右键点击装备。
10198,青刚刺,寒刚玉所制，坚硬无比，可断金,右键点击装备。
10199,华光刺,百炼纯钢打造，华光刺目,右键点击装备。
10200,龙鳞刺,金色似龙鳞的针刺,右键点击装备。
10201,撕天,天如幕，白光起，破九重天,右键点击装备。
10202,撕天,天如幕，白光起，破九重天,右键点击装备。
10203,撕天,天如幕，白光起，破九重天,右键点击装备。
10204,毒牙,恐惧，只有经历无尽虚空中袭来的毒牙才知其真意,右键点击装备。
10205,毒牙,恐惧，只有经历无尽虚空中袭来的毒牙才知其真意,右键点击装备。
10206,毒牙,恐惧，只有经历无尽虚空中袭来的毒牙才知其真意,右键点击装备。
10207,胭脂,血红的颜色，胭脂的香气，将缤纷的灵魂凝结为黑白,右键点击装备。
10208,胭脂,血红的颜色，胭脂的香气，将缤纷的灵魂凝结为黑白,右键点击装备。
10209,胭脂,血红的颜色，胭脂的香气，将缤纷的灵魂凝结为黑白,右键点击装备。
10210,九阴勾魂,爪有九刺，阴寒冷酷，破颅勾魂，使正道名门闻之色变。为地藏王所得，将要销毁，不知何人盗出，又重现江湖。,右键点击装备。
10211,九阴勾魂,爪有九刺，阴寒冷酷，破颅勾魂，使正道名门闻之色变。为地藏王所得，将要销毁，不知何人盗出，又重现江湖。,右键点击装备。
10212,九阴勾魂,爪有九刺，阴寒冷酷，破颅勾魂，使正道名门闻之色变。为地藏王所得，将要销毁，不知何人盗出，又重现江湖。,右键点击装备。
10213,雪蚕之刺,昆仑山雪蚕之毒毛所化，坚硬非常，穿犀牛皮如针穿薄纱，瞬间透入；刺中后使人身中热毒，如在灼热地狱之中,右键点击装备。
10214,雪蚕之刺,昆仑山雪蚕之毒毛所化，坚硬非常，穿犀牛皮如针穿薄纱，瞬间透入；刺中后使人身中热毒，如在灼热地狱之中,右键点击装备。
10215,雪蚕之刺,昆仑山雪蚕之毒毛所化，坚硬非常，穿犀牛皮如针穿薄纱，瞬间透入；刺中后使人身中热毒，如在灼热地狱之中,右键点击装备。
10216,贵霜之牙,传说是天竺国千年神象之牙雕刻而成，纯如傅霜，又有神象法力贯注其中，具有神秘的威力。,右键点击装备。
10217,贵霜之牙,传说是天竺国千年神象之牙雕刻而成，纯如傅霜，又有神象法力贯注其中，具有神秘的威力。,右键点击装备。
10218,贵霜之牙,传说是天竺国千年神象之牙雕刻而成，纯如傅霜，又有神象法力贯注其中，具有神秘的威力。,右键点击装备。
10219,青铜斧,以硬木和青铜制造的大斧，是常用的兵器,右键点击装备。
10220,开山斧,铁铸的巨大战斧，沉重无比，力大者用以开石裂碑,右键点击装备。
10221,双面斧,两面均制成半月状锋刃，双面制敌，力猛势强,右键点击装备。
10222,双弦钺,铁杆黝黑，银月如弦，舞动时眩人眼目,右键点击装备。
10223,精钢禅钺,精钢打造，环随舞动，铿锵入耳，震人心魄,右键点击装备。
10224,黄金钺,"以华丽的黄金装饰,使其更加沉重威猛,金光起处血光飞溅",右键点击装备。
10225,乌金鬼头镰,乌金打造的巨镰，透出森森鬼气，令人不寒而栗,右键点击装备。
10226,狂魔镰,沉于万魔之地，染魔性，映魔心，挥之即魔瘴四起,右键点击装备。
10227,恶龙之齿,寒钢为柄，龙齿为刃，风过龙鸣，摄破敌胆,右键点击装备。
10228,破魄,集艳日与阴月之精华，挥舞如日月同晖，中者形神俱灭,右键点击装备。
10229,破魄,集艳日与阴月之精华，挥舞如日月同晖，中者形神俱灭,右键点击装备。
10230,破魄,集艳日与阴月之精华，挥舞如日月同晖，中者形神俱灭,右键点击装备。
10231,肃魂,吸取无尽黑暗之气，肃清无规、无序、无章之魂,右键点击装备。
10232,肃魂,吸取无尽黑暗之气，肃清无规、无序、无章之魂,右键点击装备。
10233,肃魂,吸取无尽黑暗之气，肃清无规、无序、无章之魂,右键点击装备。
10234,无敌,斧杆以千年古木之根打造，盘桓虬曲,右键点击装备。
10235,无敌,斧杆以千年古木之根打造，盘桓虬曲,右键点击装备。
10236,无敌,斧杆以千年古木之根打造，盘桓虬曲,右键点击装备。
10237,五丁开山,上古蜀国有力士五人奉命凿通群山，见一大蛇尾在洞外，乃曳之出，其身长数十里，惊讶间，山崩，五丁与蛇俱死，遂化为神斧，执之者有开山之力。,右键点击装备。
